Apoinga,,SA,South Australia,Rural locality
Apollo Bay,,TAS,Tasmania,Rural locality
Apollo Bay,,VIC,Victoria,Urban locality
Appila,,SA,South Australia,Rural locality
Appin,,NSW,New South Wales,Urban locality
Appin,,VIC,Victoria,Rural locality
Appin South,,VIC,Victoria,Rural locality
Appleby,,NSW,New South Wales,Rural locality
Applecross,Perth,WA,Western Australia,Suburb
Applethorpe,,QLD,Queensland,Rural locality
Apple Tree Creek,,QLD,Queensland,Urban locality
Appletree Flat,,NSW,New South Wales,Rural locality
Apple Tree Flat,,NSW,New South Wales,Rural locality
Apslawn,,TAS,Tasmania,Rural locality
Apsley,,NSW,New South Wales,Rural locality
Apsley,,TAS,Tasmania,Rural locality
Apsley,,VIC,Victoria,Rural locality
Arable,,NSW,New South Wales,Rural locality
Arakoon,,NSW,New South Wales,Urban locality
Araluen,,NSW,New South Wales,Rural locality
Araluen,Alice Springs,NT,Northern Territory,Suburb
Araluen,,QLD,Queensland,Rural locality
Aramac,,QLD,Queensland,Urban locality
Aramara,,QLD,Queensland,Rural locality
Arana Hills,Brisbane,QLD,Queensland,Suburb
Aranbanga,,QLD,Queensland,Rural locality
Aranda,Canberra,ACT,Australian Capital Territory,Suburb
Ararat,,VIC,Victoria,Urban locality
Aratula,,NSW,New South Wales,Rural locality
Aratula,,QLD,Queensland,Urban locality
Arawata,,VIC,Victoria,Rural locality
Arbouin,,QLD,Queensland,Rural locality
Arbuckle,,VIC,Victoria,Rural locality
Arcadia,,NSW,New South Wales,Rural locality
Arcadia,,QLD,Queensland,Urban locality
Arcadia,,VIC,Victoria,Rural locality
Arcadia South,,VIC,Victoria,Rural locality
Arcadia Vale,Newcastle,NSW,New South Wales,Suburb
Arcadia Valley,,QLD,Queensland,Rural locality
Archdale,,VIC,Victoria,Rural locality
Archdale Junction,,VIC,Victoria,Rural locality
Archer,,NT,Northern Territory,Rural locality
Archerfield,Brisbane,QLD,Queensland,Suburb
Archer River,,QLD,Queensland,Rural locality
Archerton,,VIC,Victoria,Rural locality
Archies Creek,,VIC,Victoria,Rural locality
Arcoona,,SA,South Australia,Rural locality
Arcturus,,QLD,Queensland,Rural locality
Ardath,,WA,Western Australia,Rural locality
Ardeer,Melbourne,VIC,Victoria,Suburb
Ardglen,,NSW,New South Wales,Rural locality
Arding,,NSW,New South Wales,Rural locality
Ardlethan,,NSW,New South Wales,Urban locality
Ardmona,,VIC,Victoria,Rural locality
Ardross,Perth,WA,Western Australia,Suburb
Ardrossan,,SA,South Australia,Urban locality
Areegra,,VIC,Victoria,Rural locality
Areyonga,,NT,Northern Territory,Urban locality
Argalong,,NSW,New South Wales,Rural locality
Argenton,Newcastle,NSW,New South Wales,Suburb
Argents Hill,,NSW,New South Wales,Rural locality
Argoon,,NSW,New South Wales,Rural locality
Argoon,,QLD,Queensland,Rural locality
Argyle,,VIC,Victoria,Rural locality
Argyle,,WA,Western Australia,Rural locality
Argyll,,QLD,Queensland,Rural locality
Ariah Park,,NSW,New South Wales,Urban locality
Arkaroola Village,,SA,South Australia,Rural locality
Arkell,,NSW,New South Wales,Rural locality
Arkstone,,NSW,New South Wales,Rural locality
Armadale,Melbourne,VIC,Victoria,Suburb
Armadale,Perth,WA,Western Australia,Suburb
Armagh,,SA,South Australia,Rural locality
Armatree,,NSW,New South Wales,Rural locality
Armidale,,NSW,New South Wales,Urban locality
Armstrong,,VIC,Victoria,Rural locality
Armstrong Beach,,QLD,Queensland,Urban locality
Armstrong Creek,,QLD,Queensland,Rural locality
Armstrong Creek,,VIC,Victoria,Rural locality
Arncliffe,Sydney,NSW,New South Wales,Suburb
Arndell Park,Sydney,NSW,New South Wales,Suburb
Arno Bay,,SA,South Australia,Urban locality
Arnold,,NT,Northern Territory,Rural locality
Arnold,,VIC,Victoria,Rural locality
Arnold West,,VIC,Victoria,Rural locality
Aroona,Sunshine Coast,QLD,Queensland,Suburb
Arrawarra,,NSW,New South Wales,Urban locality
Arrawarra Headland,,NSW,New South Wales,Urban locality
Arriga,,QLD,Queensland,Rural locality
Arrino,,WA,Western Australia,Rural locality
Arrowsmith,,WA,Western Australia,Rural locality
Arrowsmith East,,WA,Western Australia,Rural locality
Artarmon,Sydney,NSW,New South Wales,Suburb
Arthur River,,TAS,Tasmania,Rural locality
Arthur River,,WA,Western Australia,Rural locality
Arthurs Creek,,VIC,Victoria,Rural locality
Arthurs Lake,,TAS,Tasmania,Rural locality
Arthurs Seat,,VIC,Victoria,Urban locality
Arthurton,,SA,South Australia,Rural locality
Arthurville,,NSW,New South Wales,Rural locality
Arumbera,,NT,Northern Territory,Rural locality
Arumpo,,NSW,New South Wales,Rural locality
Arundel,Gold Coast,QLD,Queensland,Suburb
Ascot,Brisbane,QLD,Queensland,Suburb
Ascot,,QLD,Queensland,Rural locality
Ascot,,VIC,Victoria,Rural locality
Ascot,Bendigo,VIC,Victoria,Suburb
Ascot,Perth,WA,Western Australia,Suburb
Ascot Park,Adelaide,SA,South Australia,Suburb
Ascot Vale,Melbourne,VIC,Victoria,Suburb
Ashbourne,,SA,South Australia,Rural locality
Ashbourne,,VIC,Victoria,Rural locality
Ashburton,Melbourne,VIC,Victoria,Suburb
Ashbury,Sydney,NSW,New South Wales,Suburb
Ashby,,NSW,New South Wales,Rural locality
Ashby,Perth,WA,Western Australia,Suburb
Ashby Heights,,NSW,New South Wales,Rural locality
Ashby Island,,NSW,New South Wales,Rural locality
Ashcroft,Sydney,NSW,New South Wales,Suburb
Ashendon,,WA,Western Australia,Rural locality
Ashfield,Sydney,NSW,New South Wales,Suburb
Ashfield,Bundaberg,QLD,Queensland,Suburb
Ashfield,Perth,WA,Western Australia,Suburb
Ashford,,NSW,New South Wales,Urban locality
Ashford,Adelaide,SA,South Australia,Suburb
Ashgrove,Brisbane,QLD,Queensland,Suburb
Ashley,,NSW,New South Wales,Urban locality
Ashmont,Wagga Wagga,NSW,New South Wales,Suburb
Ashmore,Gold Coast,QLD,Queensland,Suburb
Ashton,,SA,South Australia,Rural locality
Ashtonfield,Maitland,NSW,New South Wales,Suburb
Ashville,,SA,South Australia,Rural locality
Ashwell,,QLD,Queensland,Rural locality
Ashwood,Melbourne,VIC,Victoria,Suburb
Aspendale,Melbourne,VIC,Victoria,Suburb
Aspendale Gardens,Melbourne,VIC,Victoria,Suburb
Aspley,Brisbane,QLD,Queensland,Suburb
Asquith,Sydney,NSW,New South Wales,Suburb
Athelstone,Adelaide,SA,South Australia,Suburb
Atherton,,QLD,Queensland,Urban locality
Athlone,,VIC,Victoria,Rural locality
Athol,,QLD,Queensland,Rural locality
Athol Park,Adelaide,SA,South Australia,Suburb
Atholwood,,NSW,New South Wales,Rural locality
Atitjere,,NT,Northern Territory,Rural locality
Atkinsons Dam,,QLD,Queensland,Rural locality
Attadale,Perth,WA,Western Australia,Suburb
Attunga,,NSW,New South Wales,Rural locality
Attwood,Melbourne,VIC,Victoria,Suburb
Atwell,Perth,WA,Western Australia,Suburb
Aubigny,,QLD,Queensland,Rural locality
Aubin Grove,Perth,WA,Western Australia,Suburb
Aubrey,,VIC,Victoria,Rural locality
Auburn,Sydney,NSW,New South Wales,Suburb
Auburn,,QLD,Queensland,Rural locality
Auburn,,SA,South Australia,Urban locality
Auburn Vale,,NSW,New South Wales,Rural locality
Auchenflower,Brisbane,QLD,Queensland,Suburb
Auchmore,,VIC,Victoria,Rural locality
Augathella,,QLD,Queensland,Urban locality
Augusta,,WA,Western Australia,Urban locality
Augustine Heights,Brisbane,QLD,Queensland,Suburb
Auldana,Adelaide,SA,South Australia,Suburb
Aurukun,,QLD,Queensland,Rural locality
Austinmer,Wollongong,NSW,New South Wales,Suburb
Austins Ferry,Hobart,TAS,Tasmania,Suburb
Austinville,,QLD,Queensland,Rural locality
Austral,Sydney,NSW,New South Wales,Suburb
Austral Eden,,NSW,New South Wales,Rural locality
Australia Plains,,SA,South Australia,Rural locality
Australind,Bunbury,WA,Western Australia,Suburb
Avalon,,VIC,Victoria,Rural locality
Avalon Beach,Sydney,NSW,New South Wales,Suburb
Aveley,Ellenbrook,WA,Western Australia,Suburb
Avenel,,VIC,Victoria,Urban locality
Avenell Heights,Bundaberg,QLD,Queensland,Suburb
Avenue Range,,SA,South Australia,Rural locality
Avisford,,NSW,New South Wales,Rural locality
Avoca,,NSW,New South Wales,Rural locality
Avoca,Bundaberg,QLD,Queensland,Suburb
Avoca,,TAS,Tasmania,Rural locality
Avoca,,VIC,Victoria,Urban locality
Avoca Beach,Central Coast,NSW,New South Wales,Suburb
Avoca Dell,,SA,South Australia,Rural locality
Avoca Vale,,QLD,Queensland,Rural locality
Avon,,NSW,New South Wales,Rural locality
Avon,,SA,South Australia,Rural locality
Avondale,,NSW,New South Wales,Rural locality
Avondale,,QLD,Queensland,Rural locality
Avondale Heights,Melbourne,VIC,Victoria,Suburb
Avonmore,,VIC,Victoria,Rural locality
Avon Plains,,VIC,Victoria,Rural locality
Avonside,,NSW,New South Wales,Rural locality
Avonsleigh,Melbourne,VIC,Victoria,Suburb
Avon Valley National Park,,WA,Western Australia,Rural locality
Awaba,,NSW,New South Wales,Urban locality
Axe Creek,,VIC,Victoria,Rural locality
Axedale,,VIC,Victoria,Urban locality
Aylmerton,,NSW,New South Wales,Rural locality
Ayr,,QLD,Queensland,Urban locality
Ayrford,,VIC,Victoria,Rural locality
Baan Baa,,NSW,New South Wales,Rural locality
Baandee,,WA,Western Australia,Rural locality
Babakin,,WA,Western Australia,Rural locality
Babbage Island,,WA,Western Australia,Urban locality
Babinda,,NSW,New South Wales,Rural locality
Babinda,,QLD,Queensland,Urban locality
Babyl Creek,,NSW,New South Wales,Rural locality
Bacchus Marsh,,VIC,Victoria,Urban locality
Back Creek,,NSW,New South Wales,Rural locality
Back Creek,,NSW,New South Wales,Rural locality
Back Creek,,NSW,New South Wales,Rural locality
Back Creek,,NSW,New South Wales,Rural locality
Back Creek,,NSW,New South Wales,Rural locality
Back Creek,,NSW,New South Wales,Rural locality
Back Forest,,NSW,New South Wales,Rural locality
Backmede,,NSW,New South Wales,Rural locality
Back Plains,,QLD,Queensland,Rural locality
Back Valley,,SA,South Australia,Rural locality
Backwater,,NSW,New South Wales,Rural locality
Baddaginnie,,VIC,Victoria,Rural locality
Baden,,TAS,Tasmania,Rural locality
Badgebup,,WA,Western Australia,Rural locality
Badger Creek,,VIC,Victoria,Rural locality
Badger Head,,TAS,Tasmania,Rural locality
Badgerin Rock,,WA,Western Australia,Rural locality
Badgerys Creek,,NSW,New South Wales,Rural locality
Badgin,,WA,Western Australia,Rural locality
Badgingarra,,WA,Western Australia,Rural locality
Badja,,NSW,New South Wales,Rural locality
Badjaling,,WA,Western Australia,Rural locality
Badu Island,,QLD,Queensland,Urban locality
Bael Bael,,VIC,Victoria,Rural locality
Baerami,,NSW,New South Wales,Rural locality
Baerami Creek,,NSW,New South Wales,Rural locality
Baffle Creek,,QLD,Queensland,Rural locality
Baffle West,,QLD,Queensland,Rural locality
Bagdad,,TAS,Tasmania,Rural locality
Bagnoo,,NSW,New South Wales,Rural locality
Bago,,NSW,New South Wales,Rural locality
Bagotville,,NSW,New South Wales,Rural locality
Bagot Well,,SA,South Australia,Rural locality
Bagshot,,VIC,Victoria,Rural locality
Bagshot North,,VIC,Victoria,Rural locality
Bahgallah,,VIC,Victoria,Rural locality
Bahrs Scrub,,QLD,Queensland,Rural locality
Bailieston,,VIC,Victoria,Rural locality
Bailup,,WA,Western Australia,Rural locality
Baines,,NT,Northern Territory,Rural locality
Baird Bay,,SA,South Australia,Rural locality
Bairnsdale,,VIC,Victoria,Urban locality
Bajool,,QLD,Queensland,Rural locality
Bakara,,SA,South Australia,Rural locality
Bakara Well,,SA,South Australia,Rural locality
Bakers Beach,,TAS,Tasmania,Rural locality
Bakers Bend,,QLD,Queensland,Rural locality
Bakers Creek,,NSW,New South Wales,Rural locality
Bakers Creek,,NSW,New South Wales,Rural locality
Bakers Creek,,NSW,New South Wales,Rural locality
Bakers Creek,,QLD,Queensland,Rural locality
Bakers Hill,,WA,Western Australia,Urban locality
Bakers Swamp,,NSW,New South Wales,Rural locality
Bakery Hill,Ballarat,VIC,Victoria,Suburb
Bakewell,Darwin,NT,Northern Territory,Suburb
Baking Board,,QLD,Queensland,Rural locality
Balaclava,Bowral - Mittagong,NSW,New South Wales,Suburb
Balaclava,Melbourne,VIC,Victoria,Suburb
Balaklava,,SA,South Australia,Urban locality
Balala,,NSW,New South Wales,Rural locality
Balbarrup,,WA,Western Australia,Rural locality
Balberra,,QLD,Queensland,Rural locality
Balcatta,Perth,WA,Western Australia,Suburb
Balcolyn,Morisset - Cooranbong,NSW,New South Wales,Suburb
Balcomba,,QLD,Queensland,Rural locality
Bald Blair,,NSW,New South Wales,Rural locality
Baldersleigh,,NSW,New South Wales,Rural locality
Bald Hills,,NSW,New South Wales,Rural locality
Bald Hills,Brisbane,QLD,Queensland,Suburb
Bald Hills,,SA,South Australia,Rural locality
Bald Hills,,VIC,Victoria,Rural locality
Baldina,,SA,South Australia,Rural locality
Baldivis,,WA,Western Australia,Rural locality
Bald Knob,,QLD,Queensland,Rural locality
Bald Nob,,NSW,New South Wales,Rural locality
Bald Ridge,,NSW,New South Wales,Rural locality
Baldry,,NSW,New South Wales,Rural locality
Balfours Peak,,NSW,New South Wales,Rural locality
Balga,Perth,WA,Western Australia,Suburb
Balgal Beach,,QLD,Queensland,Urban locality
Balgowan,,QLD,Queensland,Rural locality
Balgowan,,SA,South Australia,Rural locality
